income,sex,race,age,hs_week
<=50K,Male,White,39,40
<=50K,Male,White,50,13
<=50K,Male,White,38,40
<=50K,Male,Black,53,40
<=50K,Female,Black,28,40
<=50K,Female,White,37,40
<=50K,Female,Black,49,16
>50K,Male,White,52,45
>50K,Female,White,31,50
>50K,Male,White,42,40
>50K,Male,Black,37,80
>50K,Male,Asian-Pac-Islander,30,40
<=50K,Female,White,23,30
<=50K,Male,Black,32,50
>50K,Male,Asian-Pac-Islander,40,40
<=50K,Male,Amer-Indian-Eskimo,34,45
<=50K,Male,White,25,35
<=50K,Male,White,32,40
<=50K,Male,White,38,50
>50K,Female,White,43,45
>50K,Male,White,40,60
<=50K,Female,Black,54,20
<=50K,Male,Black,35,40
<=50K,Male,White,43,40
<=50K,Female,White,59,40
>50K,Male,White,56,40
<=50K,Male,White,19,40
>50K,Male,Asian-Pac-Islander,54,60
<=50K,Male,White,39,80
<=50K,Male,White,49,40
<=50K,Male,White,23,52
<=50K,Male,Black,20,44
<=50K,Male,White,45,40
<=50K,Male,White,30,40
<=50K,Male,Black,22,15
<=50K,Male,White,48,40
<=50K,Male,White,21,40
<=50K,Female,White,19,25
>50K,Male,White,31,38
<=50K,Male,White,48,40
<=50K,Male,White,31,43
<=50K,Male,White,53,40
<=50K,Male,White,24,50
<=50K,Female,White,49,40
<=50K,Male,White,25,35
>50K,Male,Black,57,40
<=50K,Male,White,53,38
<=50K,Female,White,44,40
<=50K,Male,White,41,40
<=50K,Male,White,29,43
<=50K,Female,Other,25,40
<=50K,Female,White,18,30
>50K,Female,White,47,60
>50K,Male,White,50,55
<=50K,Male,White,47,60
>50K,Male,White,43,40
<=50K,Male,White,46,40
<=50K,Male,White,35,40
<=50K,Male,White,41,48
<=50K,Male,White,30,40
<=50K,Male,White,30,40
<=50K,Male,White,32,40
<=50K,Male,White,48,40
>50K,Male,White,42,45
<=50K,Male,White,29,58
<=50K,Male,White,36,40
<=50K,Female,White,28,40
>50K,Female,White,53,40
>50K,Male,White,49,50
<=50K,Male,White,25,40
<=50K,Male,White,19,32
<=50K,Female,Black,31,40
>50K,Male,White,29,70
<=50K,Male,White,23,40
<=50K,Male,White,79,20
<=50K,Male,White,27,40
<=50K,Male,White,40,40
<=50K,Male,White,67,2
<=50K,Female,White,18,22
<=50K,Male,White,31,40
<=50K,Male,White,18,30
<=50K,Male,White,52,40
<=50K,Female,White,46,40
<=50K,Male,White,59,48
>50K,Female,White,44,40
<=50K,Female,White,53,35
>50K,Male,White,49,40
<=50K,Male,White,33,50
<=50K,Male,White,30,40
>50K,Female,White,43,50
<=50K,Male,White,57,40
<=50K,Female,White,37,40
<=50K,Female,Black,28,25
<=50K,Female,Asian-Pac-Islander,30,35
>50K,Male,White,34,40
<=50K,Male,White,29,50
>50K,Male,White,48,60
>50K,Male,White,37,48
<=50K,Female,White,48,40
<=50K,Male,Black,32,40
>50K,Male,White,76,40
>50K,Male,White,44,60
<=50K,Female,White,47,50
<=50K,Female,White,20,40
<=50K,Male,White,29,40
>50K,Male,White,32,40
<=50K,Female,White,17,32
<=50K,Male,White,30,40
<=50K,Female,White,31,40
<=50K,Male,White,42,40
<=50K,Male,White,24,40
>50K,Male,White,38,40
>50K,Male,White,56,50
<=50K,Female,White,28,25
<=50K,Female,White,36,40
<=50K,Male,White,53,50
<=50K,Male,White,56,50
>50K,Male,Black,49,40
<=50K,Male,White,55,56
<=50K,Male,White,22,41
<=50K,Female,White,21,40
<=50K,Male,White,40,60
<=50K,Male,Black,30,40
>50K,Male,White,29,50
<=50K,Male,Black,19,35
>50K,Female,White,47,40
<=50K,Female,White,20,28
>50K,Male,White,31,40
<=50K,Male,White,35,40
<=50K,Male,White,39,40
<=50K,Female,White,28,60
<=50K,Female,White,24,40
<=50K,Male,White,38,35
<=50K,Male,White,37,50
<=50K,Female,Black,46,36
>50K,Male,White,38,40
<=50K,Male,White,43,60
<=50K,Female,White,27,35
<=50K,Male,White,20,20
>50K,Male,Asian-Pac-Islander,49,40
<=50K,Male,White,61,40
<=50K,Female,White,27,40
<=50K,Male,White,19,30
>50K,Female,White,45,40
<=50K,Male,White,70,40
<=50K,Female,Black,31,30
<=50K,Male,White,22,24
<=50K,Female,White,36,24
<=50K,Male,White,64,40
